Unnamed: 0,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
27718827,42,1,3,459,2,0,1,1
27719059,85,1,3,459,2,0,1,1
27719455,153,4,0,918,3,1,0,0
27719602,176,0,4,918,0,0,3,1
27720071,252,0,3,459,0,0,1,1
27720474,322,1,4,459,2,0,3,1
27720523,331,4,3,459,3,1,1,1
27720583,341,0,2,918,0,0,4,0
27720949,404,4,0,918,3,1,0,0
27721239,455,2,3,918,4,0,1,1
27721540,502,0,3,459,0,0,1,1
27724883,1037,3,4,459,1,1,3,1
27725109,1081,0,4,918,0,0,3,1
27725177,1093,3,2,918,1,1,4,0
27725570,1156,0,3,459,0,0,1,1
27725651,1171,2,4,459,4,0,3,1
27726138,1254,4,1,459,3,1,2,0
27726486,1311,0,3,459,0,0,1,1
27726528,1319,0,1,459,0,0,2,0
27726664,1343,3,4,459,1,1,3,1
27727886,1548,0,4,918,0,0,3,1
27728229,1607,0,4,918,0,0,3,1
27728669,1678,0,4,918,0,0,3,1
27728699,1683,4,1,459,3,1,2,0
27729102,1753,4,1,459,3,1,2,0
27729507,1826,4,1,459,3,1,2,0
27730157,1942,4,1,459,3,1,2,0
27730255,1957,0,4,918,0,0,3,1
27730290,1962,3,4,459,1,1,3,1
27730493,2001,3,4,459,1,1,3,1
27730760,2049,3,2,918,1,1,4,0
27730830,2061,4,1,459,3,1,2,0
27731682,2211,3,1,459,1,1,2,0
27731695,2213,0,4,918,0,0,3,1
27731962,2258,3,1,459,1,1,2,0
27731976,2259,0,3,459,0,0,1,1
27732265,2308,0,4,918,0,0,3,1
27732479,2344,3,4,459,1,1,3,1
27732698,2382,0,4,918,0,0,3,1
27733149,2454,4,2,459,3,1,4,0
27733248,2470,4,1,459,3,1,2,0
27733451,2503,4,1,459,3,1,2,0
27733533,2519,1,4,459,2,0,3,1
27733594,2529,4,0,918,3,1,0,0
27733905,2585,3,4,459,1,1,3,1
27736178,2977,0,4,918,0,0,3,1
27736234,2988,4,2,459,3,1,4,0
27737152,3162,0,1,459,0,0,2,0
27737219,3174,2,1,459,4,0,2,0
27737526,3233,2,4,459,4,0,3,1
27737846,3291,2,1,459,4,0,2,0
27737874,3297,0,4,918,0,0,3,1
27737928,3305,2,0,918,4,0,0,0
27737997,3318,2,4,459,4,0,3,1
27738177,3350,1,4,459,2,0,3,1
27738302,3370,0,4,918,0,0,3,1
27738478,3399,4,0,918,3,1,0,0
27738644,3428,1,3,459,2,0,1,1
27738710,3442,0,1,459,0,0,2,0
27738782,3456,2,4,459,4,0,3,1
27738913,3479,2,1,459,4,0,2,0
27738997,3493,4,2,459,3,1,4,0
27739253,3540,0,2,918,0,0,4,0
27739363,3561,1,3,459,2,0,1,1
27739413,3569,3,1,459,1,1,2,0
27739542,3594,1,4,459,2,0,3,1
27739548,3595,2,1,459,4,0,2,0
