origin_ID,destination_ID,distance,travel_time,route,fare
0,1,459,2,"[0, 1]",2.3
0,2,918,4,"[0, 1, 2]",4.59
0,3,459,2,"[0, 3]",2.3
0,4,918,4,"[0, 3, 4]",4.59
1,0,459,2,"[1, 0]",2.3
1,2,459,2,"[1, 2]",2.3
1,3,459,2,"[1, 3]",2.3
1,4,459,2,"[1, 4]",2.3
2,0,918,4,"[2, 1, 0]",4.59
2,1,459,2,"[2, 1]",2.3
2,3,918,4,"[2, 1, 3]",4.59
2,4,459,2,"[2, 4]",2.3
3,0,459,2,"[3, 0]",2.3
3,1,459,2,"[3, 1]",2.3
3,2,918,4,"[3, 4, 2]",4.59
3,4,459,2,"[3, 4]",2.3
4,0,918,4,"[4, 1, 0]",4.59
4,1,459,2,"[4, 1]",2.3
4,2,459,2,"[4, 2]",2.3
4,3,459,2,"[4, 3]",2.3
