Unnamed: 0,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
2850141,31,0,4,918,0,0,3,1
2850342,61,4,3,459,3,1,1,1
2851415,220,4,0,918,3,1,0,0
2851541,239,1,3,459,2,0,1,1
2851582,246,3,0,459,1,1,0,0
2851987,306,4,3,459,3,1,1,1
2852147,333,2,4,459,4,0,3,1
2852445,378,2,4,459,4,0,3,1
2852711,422,0,1,459,0,0,2,0
2854054,621,0,4,918,0,0,3,1
2854094,628,0,1,459,0,0,2,0
2854700,718,0,3,459,0,0,1,1
2855142,783,0,1,459,0,0,2,0
2855641,860,0,4,918,0,0,3,1
2856477,986,4,3,459,3,1,1,1
2856554,1000,0,2,918,0,0,4,0
2856908,1054,2,4,459,4,0,3,1
2857005,1068,3,2,918,1,1,4,0
2857297,1111,4,1,459,3,1,2,0
2857459,1137,3,1,459,1,1,2,0
2858812,1345,3,4,459,1,1,3,1
2858944,1366,0,2,918,0,0,4,0
2858951,1367,0,4,918,0,0,3,1
2859120,1394,2,3,918,4,0,1,1
2859326,1422,3,1,459,1,1,2,0
2859353,1425,0,2,918,0,0,4,0
2859466,1444,3,4,459,1,1,3,1
2859642,1474,4,2,459,3,1,4,0
2860547,1613,4,3,459,3,1,1,1
2860730,1642,0,4,918,0,0,3,1
2861109,1704,0,2,918,0,0,4,0
2861455,1761,0,4,918,0,0,3,1
2861458,1761,4,2,459,3,1,4,0
2861606,1784,3,4,459,1,1,3,1
2861933,1836,0,4,918,0,0,3,1
2862493,1923,0,4,918,0,0,3,1
2862827,1972,4,3,459,3,1,1,1
2862878,1981,3,2,918,1,1,4,0
2863821,2127,2,3,918,4,0,1,1
2864242,2194,2,4,459,4,0,3,1
2864577,2248,2,4,459,4,0,3,1
2864713,2268,4,2,459,3,1,4,0
2864770,2276,3,2,918,1,1,4,0
2864782,2279,1,3,459,2,0,1,1
2865802,2437,0,4,918,0,0,3,1
2866513,2549,4,2,459,3,1,4,0
2867190,2659,2,4,459,4,0,3,1
2867240,2667,4,1,459,3,1,2,0
2867269,2672,0,4,918,0,0,3,1
2867299,2677,1,2,459,2,0,4,0
2867509,2713,1,3,459,2,0,1,1
2867734,2746,0,4,918,0,0,3,1
2868007,2787,3,4,459,1,1,3,1
2868889,2930,4,2,459,3,1,4,0
2869720,3065,0,3,459,0,0,1,1
2869958,3104,0,4,918,0,0,3,1
2870445,3181,0,3,459,0,0,1,1
2870510,3191,3,0,459,1,1,0,0
2871073,3291,4,1,459,3,1,2,0
2871074,3291,3,2,918,1,1,4,0
2871271,3323,4,1,459,3,1,2,0
2871363,3337,0,2,918,0,0,4,0
2871506,3360,0,4,918,0,0,3,1
2871640,3382,2,4,459,4,0,3,1
2872274,3491,3,2,918,1,1,4,0
